run_id,brake_profile,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,trigger_ttc_s,braking_ramp_up_per_s,brake_headway_s,weather_preset,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,time_to_stop_s,physics_label,margin_m
run_0184,SAC_v3_1600k,28.0,60.0,1.8,left,near,3.0,4.0,2.5,ClearSunset,True,False,full_stop,15.037,2.057,408.16,18.93,27.59,12.336,1.42,avoidable,15.17
run_0185,SAC_v3_1600k,28.0,60.0,1.8,left,near,3.0,4.0,5.0,ClearSunset,True,False,full_stop,15.971,2.075,408.16,19.2,27.59,12.336,1.3,avoidable,15.17
run_0192,SAC_v3_1600k,28.0,60.0,1.8,left,near,3.5,4.0,2.5,ClearSunset,True,False,full_stop,21.054,2.554,408.16,20.58,27.6,12.338,1.38,avoidable,21.43
run_0193,SAC_v3_1600k,28.0,60.0,1.8,left,near,3.5,4.0,5.0,ClearSunset,True,False,full_stop,21.373,2.554,408.16,20.92,27.6,12.338,1.34,avoidable,21.43
run_0200,SAC_v3_1600k,28.0,60.0,1.8,left,far,1.8,4.0,2.5,ClearSunset,True,False,full_stop,2.01,0.343,408.16,15.16,27.69,12.378,1.46,borderline-avoidable,0.15
run_0201,SAC_v3_1600k,28.0,60.0,1.8,left,far,1.8,4.0,5.0,ClearSunset,True,False,full_stop,2.07,0.343,408.16,15.0,27.69,12.378,1.42,borderline-avoidable,0.15
run_0208,SAC_v3_1600k,28.0,60.0,1.8,left,far,2.2,4.0,2.5,ClearSunset,True,False,full_stop,6.522,1.137,408.16,16.46,27.66,12.364,1.32,avoidable,inf
run_0209,SAC_v3_1600k,28.0,60.0,1.8,left,far,2.2,4.0,5.0,ClearSunset,True,False,full_stop,6.498,1.131,408.16,16.39,27.66,12.364,1.32,avoidable,inf
run_0216,SAC_v3_1600k,28.0,60.0,1.8,left,far,2.6,4.0,2.5,ClearSunset,True,False,full_stop,8.595,1.411,408.16,17.24,27.65,12.359,1.32,avoidable,inf
run_0217,SAC_v3_1600k,28.0,60.0,1.8,left,far,2.6,4.0,5.0,ClearSunset,True,False,full_stop,8.691,1.41,408.16,17.06,27.65,12.359,1.3,avoidable,inf
run_0224,SAC_v3_1600k,28.0,60.0,1.8,left,far,3.0,4.0,2.5,ClearSunset,True,False,full_stop,15.065,2.057,408.16,18.94,27.59,12.336,1.42,avoidable,inf
run_0225,SAC_v3_1600k,28.0,60.0,1.8,left,far,3.0,4.0,5.0,ClearSunset,True,False,full_stop,15.986,2.075,408.16,19.21,27.59,12.336,1.3,avoidable,inf
run_0232,SAC_v3_1600k,28.0,60.0,1.8,left,far,3.5,4.0,2.5,ClearSunset,True,False,full_stop,20.993,2.554,408.16,20.77,27.6,12.338,1.4,avoidable,inf
run_0233,SAC_v3_1600k,28.0,60.0,1.8,left,far,3.5,4.0,5.0,ClearSunset,True,False,full_stop,21.511,2.554,408.16,20.71,27.6,12.338,1.32,avoidable,inf
run_0240,SAC_v3_1600k,28.0,120.0,1.8,left,near,1.8,4.0,2.5,ClearSunset,True,True,collision,2.694,0.419,408.16,7.19,27.92,12.48,,borderline-avoidable,0.15
